2018-12-25 19:59:10 install libblkid1:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:10 status half-installed libblkid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libblkid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libblkid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 install libfdisk1:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:10 status half-installed libfdisk1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libfdisk1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libfdisk1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 install libmount1:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:10 status half-installed libmount1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libmount1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 status unpacked libmount1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:10 install libsmartcols1:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:10 status half-installed libsmartcols1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked libsmartcols1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked libsmartcols1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 install libuuid1:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:11 status half-installed libuuid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked libuuid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked libuuid1:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 install mount:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:11 status half-installed mount:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked mount:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 status unpacked mount:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:11 install util-linux:amd64 <none> 2.29.2-1+deb9u1
2018-12-25 19:59:11 status half-installed util-linux:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:14 status unpacked util-linux:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:14 status unpacked util-linux:amd64 2.29.2-1+deb9u1
2018-12-25 19:59:14 install liblzma5:amd64 <none> 5.2.2-1.2+b1
2018-12-25 19:59:14 status half-installed liblzma5:amd64 5.2.2-1.2+b1
2018-12-25 19:59:14 status unpacked liblzma5:amd64 5.2.2-1.2+b1
2018-12-25 19:59:14 status unpacked liblzma5:amd64 5.2.2-1.2+b1
2018-12-25 19:59:14 install zlib1g:amd64 <none> 1:1.2.8.dfsg-5
2018-12-25 19:59:14 status half-installed zlib1g:amd64 1:1.2.8.dfsg-5
2018-12-25 19:59:14 status unpacked zlib1g:amd64 1:1.2.8.dfsg-5
2018-12-25 19:59:14 status unpacked zlib1g:amd64 1:1.2.8.dfsg-5
2018-12-25 19:59:14 startup packages configure
2018-12-25 19:59:14 configure gcc-6-base:amd64 6.3.0-18+deb9u1 <none>
2018-12-25 19:59:14 status unpacked gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:59:14 status half-configured gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:59:14 status installed gcc-6-base:amd64 6.3.0-18+deb9u1
2018-12-25 19:59:14 configure lsb-base:all 9.20161125 <none>
